45 45C 45Creseq 46a 47 48 49 50 51 52 52reseq 52reseq2 53 53reseq 54 55 56 57
CTRG_05898|726 2155 1502 3934 2942 822 1133 1018 3694 5106 4610 5623 1747 1970 2883 2219 2461 4963 3621
CTRG_05899|2610 419 474 1258 946 694 268 342 339 628 491 618 168 138 253 224 262 1038 878
CTRG_05900|777 2929 4700 12319 1678 2291 2650 3134 2458 3577 2956 3854 1109 2271 3563 3216 3804 4769 4077
CTRG_05901|843 63 289 798 15 22 56 43 24 47 40 43 13 44 65 80 96 57 65
CTRG_05902|1071 223 278 822 185 139 204 207 234 270 191 260 79 114 162 134 201 169 205
CTRG_05903|2169 577 1022 2692 528 600 575 631 626 781 737 831 244 333 482 414 552 741 680
MSTRG.195.1|467|x|CTRG_05903-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 2 5 8 0 4 5 5 12 8 4 19 2 1 3 2 3 6 2
CTRG_05904|1284 274 509 1431 665 320 276 361 622 698 729 921 251 212 314 302 335 589 475
CTRG_05905|1236 75 247 676 156 134 101 160 152 170 159 193 53 198 290 265 320 323 291
CTRG_05906|753 1453 6041 16014 2653 821 1361 918 1468 1105 1251 1637 522 1639 2358 2070 2357 2325 1793
CTRG_05907|891 229 733 1832 376 279 306 453 394 381 430 529 151 193 296 283 302 585 483
CTRG_05908|1011 487 938 2369 468 216 194 210 320 370 349 435 117 154 183 141 196 350 299
CTRG_05909|1740 1276 1512 3840 1203 1171 906 1187 1591 2128 1781 2168 635 876 1360 1072 1254 1761 1449
CTRG_05910|447 959 2340 6128 6405 1378 1701 2358 3696 4704 4342 5548 1636 1720 2646 1910 2484 3569 2623
CTRG_05911|1455 971 2618 6646 1220 1113 960 1175 587 722 581 701 210 306 418 311 412 997 828
CTRG_05912|504 1936 1814 4750 1928 1439 1211 1874 1007 1469 1375 1610 497 825 1233 827 1051 1834 1407
CTRG_05913|2694 6508 6087 15376 3949 5830 3706 4853 1879 2330 1835 2440 733 680 1001 1038 1105 3339 3073
CTRG_05914|576 11143 4201 11031 9741 7684 6227 9129 22901 28459 27124 34178 10232 10977 16564 12843 15785 23966 18638
